,url,league_name,team
0,241,Spain Primera Division ,FC Barcelona
1,11,English Premier League ,Manchester United
2,5,English Premier League ,Chelsea
3,243,Spain Primera Division ,Real Madrid
4,1,English Premier League ,Arsenal
5,9,English Premier League ,Liverpool
6,22,German 1. Bundesliga ,Borussia Dortmund
7,21,German 1. Bundesliga ,FC Bayern München
8,10,English Premier League ,Manchester City
9,73,French Ligue 1 ,Paris Saint-Germain
10,245,Holland Eredivisie ,Ajax
11,240,Spain Primera Division ,Atlético Madrid
12,191,Austrian Football Bundesliga ,FC Red Bull Salzburg
13,44,Italian Serie A ,Inter
14,47,Italian Serie A ,Milan
15,45,Italian Serie A ,Juventus
16,18,English Premier League ,Tottenham Hotspur
17,112172,German 1. Bundesliga ,RB Leipzig
18,1943,English Premier League ,Bournemouth
19,48,Italian Serie A ,Napoli
20,7,English Premier League ,Everton
21,32,German 1. Bundesliga ,Bayer 04 Leverkusen
22,52,Italian Serie A ,Roma
23,34,German 1. Bundesliga ,FC Schalke 04
24,95,English Premier League ,Leicester City
25,461,Spain Primera Division ,Valencia CF
26,110,English Premier League ,Wolverhampton Wanderers
27,66,French Ligue 1 ,Olympique Lyonnais
28,19,English Premier League ,West Ham United
29,110374,Italian Serie A ,Fiorentina
30,247,Holland Eredivisie ,PSV
31,1792,English Premier League ,Norwich City
32,449,Spain Primera Division ,Real Betis
33,1824,German 1. Bundesliga ,Eintracht Frankfurt
34,38,German 1. Bundesliga ,SV Werder Bremen
35,234,Portuguese Liga ZON SAGRES ,SL Benfica
36,481,Spain Primera Division ,Sevilla FC
37,69,French Ligue 1 ,AS Monaco
38,219,French Ligue 1 ,Olympique de Marseille
39,2,English Premier League ,Aston Villa
40,13,English Premier League ,Newcastle United
41,110679,German 3. Bundesliga ,Bayern München II
42,236,Portuguese Liga ZON SAGRES ,FC Porto
43,74,French Ligue 1 ,Stade Rennais FC
44,237,Portuguese Liga ZON SAGRES ,Sporting CP
45,65,French Ligue 1 ,LOSC Lille
46,17,English Premier League ,Southampton
47,39,Italian Serie A ,Atalanta
48,23,German 1. Bundesliga ,Borussia Mönchengladbach
49,50,Italian Serie A ,Parma
50,457,Spain Primera Division ,Real Sociedad
51,325,Turkish Süper Lig ,Galatasaray SK
52,28,German 2. Bundesliga ,Hamburger SV
53,10029,German 1. Bundesliga ,TSG 1899 Hoffenheim
54,175,German 1. Bundesliga ,VfL Wolfsburg
55,326,Turkish Süper Lig ,Fenerbahçe SK
56,190,Italian Serie A ,Brescia
57,448,Spain Primera Division ,Athletic Club de Bilbao
58,8,English League Championship ,Leeds United
59,1799,English Premier League ,Crystal Palace
60,1795,English Premier League ,Watford
61,166,German 1. Bundesliga ,Hertha BSC
62,211,Croatian Prva HNL ,Dinamo Zagreb
63,46,Italian Serie A ,Lazio
64,1794,English Premier League ,Sheffield United
65,144,English League Championship ,Fulham
66,36,German 2. Bundesliga ,VfB Stuttgart
67,1842,Italian Serie A ,Cagliari
68,327,Turkish Süper Lig ,Beşiktaş JK
69,113926,English League Two ,Salford City
70,78,Scottish Premiership ,Celtic
71,72,French Ligue 1 ,OGC Nice
72,229,Belgian Jupiler Pro League ,RSC Anderlecht
73,1879,Mexican Liga MX ,Club América
74,1877,Argentina Primera División  ,Boca Juniors
75,483,Spain Primera Division ,Villarreal CF
76,105035,International,Netherlands
77,31,German 1. Bundesliga ,1. FC Köln
78,101088,Argentina Primera División  ,Vélez Sarsfield
79,1370,International,Brazil
80,1808,English Premier League ,Brighton & Hove Albion
81,1335,International,France
82,452,Spain Primera Division ,RCD Espanyol
83,169,German 1. Bundesliga ,1. FSV Mainz 05
84,246,Holland Eredivisie ,Feyenoord
85,450,Spain Primera Division ,RC Celta
86,25,German 1. Bundesliga ,SC Freiburg
87,110556,Italian Serie A ,Genoa
88,1337,International,Germany
89,462,Spain Primera Division ,Real Valladolid CF
90,91,English League Championship ,Derby County
91,1876,Argentina Primera División  ,River Plate
92,436,Turkish Süper Lig ,Trabzonspor
93,1880,Mexican Liga MX ,Guadalajara
94,453,Spain Primera Division ,RCD Mallorca
95,1806,English League Championship ,Stoke City
96,1790,English League One ,Portsmouth
97,1819,French Ligue 1 ,AS Saint-Étienne
98,1796,English Premier League ,Burnley
99,110636,German 1. Bundesliga ,Fortuna Düsseldorf
100,1386,International,Mexico
101,189,Italian Serie A ,Bologna
102,1318,International,England
103,71,French Ligue 1 ,FC Nantes
104,14,English League Championship ,Nottingham Forest
105,101059,Ukrainian Premier League ,Shakhtar Donetsk
106,1362,International,Spain
107,54,Italian Serie A ,Torino
108,106,English League One ,Sunderland
109,1960,English League Championship ,Swansea City
110,59,French Ligue 1 ,FC Girondins de Bordeaux
111,100409,German 1. Bundesliga ,FC Augsburg
112,697,USA Major League Soccer ,LA Galaxy
113,1878,Mexican Liga MX ,Cruz Azul
114,673,Belgian Jupiler Pro League ,KRC Genk
115,1369,International,Argentina
116,1860,Spain Primera Division ,Getafe CF
117,112885,USA Major League Soccer ,Atlanta United
118,112996,USA Major League Soccer ,Los Angeles FC
119,1354,International,Portugal
120,109,English League Championship ,West Bromwich Albion
121,86,Scottish Premiership ,Rangers FC
122,1032,Mexican Liga MX ,Monterrey
123,1831,German 1. Bundesliga ,1. FC Union Berlin
124,485,German 2. Bundesliga ,Hannover 96
125,1906,Holland Eredivisie ,AZ Alkmaar
126,1939,English League Championship ,Huddersfield Town
127,55,Italian Serie A ,Udinese
128,896,Swiss Super League ,FC Basel 1893
129,101085,Argentina Primera División  ,Racing Club
130,1970,Mexican Liga MX ,Tigres U.A.N.L.
131,242,Spanish Segunda División ,Deportivo de La Coruña
132,94,English League One ,Ipswich Town
133,1343,International,Italy
134,1028,Mexican Liga MX ,Monarcas Morelia
135,1837,Italian Serie A ,Sampdoria
136,76,French Ligue 1 ,RC Strasbourg Alsace
137,1629,Campeonato Brasileiro Série A ,Grêmio
138,674,Belgian Jupiler Pro League ,KAA Gent
139,231,Belgian Jupiler Pro League ,Club Brugge KV
140,101014,Turkish Süper Lig ,Medipol Başakşehir FK
141,1325,International,Belgium
142,1961,English League Championship ,Cardiff City
143,315,Russian Premier League ,PFC CSKA Moscow
144,1387,International,United States
145,110062,Spanish Segunda División ,Girona FC
146,111974,Italian Serie A ,Sassuolo
147,100761,Romanian Liga I ,FCSB (Steaua)
148,112809,Portuguese Liga ZON SAGRES ,Famalicão
149,70,French Ligue 1 ,Montpellier HSC
150,171,German 2. Bundesliga ,1. FC Nürnberg
151,4,English League One ,Bolton Wanderers
152,1925,English League Championship ,Brentford
153,1853,Spain Primera Division ,Levante UD
154,479,Spain Primera Division ,CA Osasuna
155,101047,Ukrainian Premier League ,Dynamo Kyiv
156,1809,French Ligue 1 ,Toulouse Football Club
157,110395,Argentina Primera División  ,Club Atlético Lanús
158,100767,Russian Premier League ,Spartak Moscow
159,111839,Chinese Super League ,Guangzhou Evergrande Taobao FC
160,573,Spanish Segunda División ,Málaga CF
161,29,German 3. Bundesliga ,1. FC Kaiserslautern
162,88,English League Championship ,Birmingham City
163,3,English League Championship ,Blackburn Rovers
164,12,English League Championship ,Middlesbrough
165,280,Greek Super League ,Olympiacos CFP
166,15,English League Championship ,Queens Park Rangers
167,33,German 3. Bundesliga ,TSV 1860 München
168,472,Spanish Segunda División ,UD Las Palmas
169,463,Spain Primera Division ,Deportivo Alavés
170,1952,English League Championship ,Hull City
171,100765,Russian Premier League ,Lokomotiv Moscow
172,244,Spanish Segunda División ,Real Zaragoza
173,232,Belgian Jupiler Pro League ,Standard de Liège
174,1881,Mexican Liga MX ,U.N.A.M.
175,1919,English League Championship ,Bristol City
176,121,English League Two ,Crewe Alexandra
177,110093,Argentina Primera División  ,Independiente
178,347,Italian Serie A ,Lecce
179,101146,Japanese J. League Division 1 ,Vissel Kobe
180,100888,Spain Primera Division ,CD Leganés
181,110781,Mexican Liga MX ,Club León
182,1940,English League Two ,Mansfield Town
183,64,French Ligue 2 ,Racing Club de Lens
184,1793,English League Championship ,Reading
185,10030,German 1. Bundesliga ,SC Paderborn 07
186,254,Austrian Football Bundesliga ,SK Rapid Wien
187,111109,International,Colombia
188,689,USA Major League Soccer ,New York Red Bulls
189,1807,English League Championship ,Sheffield Wednesday
190,1804,English League Two ,Bradford City
191,1945,English League One ,Bury
192,89,English League Championship ,Charlton Athletic
193,1882,Mexican Liga MX ,Deportivo Toluca
194,110832,Spain Primera Division ,Granada CF
195,206,Italian Serie A ,Hellas Verona
196,1871,Polish T-Mobile Ekstraklasa ,Legia Warszawa
197,224,French Ligue 1 ,Nîmes Olympique
198,1861,Spanish Segunda División ,UD Almería
199,112678,Mexican Liga MX ,Atlético de San Luis
200,113134,Mexican Liga MX ,FC Juárez
201,110144,Mexican Liga MX ,Santos Laguna
202,1365,International,Turkey
203,1920,English League Two ,Oldham Athletic
204,1356,International,Romania
205,467,Spain Primera Division ,SD Eibar
206,1932,English League Championship ,Barnsley
207,1935,English League Two ,Colchester United
208,97,English League Championship ,Millwall
209,110147,Mexican Liga MX ,Pachuca
210,1801,English League Championship ,Preston North End
211,503,German 2. Bundesliga ,SG Dynamo Dresden
212,1377,International,Uruguay
213,111822,Austrian Football Bundesliga ,Wolfsberger AC
214,62,French Ligue 2 ,En Avant de Guingamp
